step,time,z_num,vz_num,z_exact,vz_exact,error_z
49,4.9000000000e-02,4.9874922500e+00,-4.9050000000e-01,4.9882230950e+00,-4.8069000000e-01,7.3084500000e-04
50,5.0000000000e-02,4.9869919400e+00,-5.0031000000e-01,4.9877375000e+00,-4.9050000000e-01,7.4556000000e-04
51,5.1000000000e-02,4.9864818200e+00,-5.1012000000e-01,4.9872420950e+00,-5.0031000000e-01,7.6027500000e-04
52,5.2000000000e-02,4.9859618900e+00,-5.1993000000e-01,4.9867368800e+00,-5.1012000000e-01,7.7499000000e-04
53,5.3000000000e-02,4.9854321500e+00,-5.2974000000e-01,4.9862218550e+00,-5.1993000000e-01,7.8970500000e-04
54,5.4000000000e-02,4.9848926000e+00,-5.3955000000e-01,4.9856970200e+00,-5.2974000000e-01,8.0442000000e-04
55,5.5000000000e-02,4.9843432400e+00,-5.4936000000e-01,4.9851623750e+00,-5.3955000000e-01,8.1913500000e-04
56,5.6000000000e-02,4.9837840700e+00,-5.5917000000e-01,4.9846179200e+00,-5.4936000000e-01,8.3385000000e-04
57,5.7000000000e-02,4.9832150900e+00,-5.6898000000e-01,4.9840636550e+00,-5.5917000000e-01,8.4856500000e-04
58,5.8000000000e-02,4.9826363000e+00,-5.7879000000e-01,4.9834995800e+00,-5.6898000000e-01,8.6328000000e-04
59,5.9000000000e-02,4.9820477000e+00,-5.8860000000e-01,4.9829256950e+00,-5.7879000000e-01,8.7799500000e-04
60,6.0000000000e-02,4.9814492900e+00,-5.9841000000e-01,4.9823420000e+00,-5.8860000000e-01,8.9271000000e-04
61,6.1000000000e-02,4.9808410700e+00,-6.0822000000e-01,4.9817484950e+00,-5.9841000000e-01,9.0742500000e-04
62,6.2000000000e-02,4.9802230400e+00,-6.1803000000e-01,4.9811451800e+00,-6.0822000000e-01,9.2214000000e-04
63,6.3000000000e-02,4.9795952000e+00,-6.2784000000e-01,4.9805320550e+00,-6.1803000000e-01,9.3685500000e-04
64,6.4000000000e-02,4.9789575500e+00,-6.3765000000e-01,4.9799091200e+00,-6.2784000000e-01,9.5157000000e-04
65,6.5000000000e-02,4.9783100900e+00,-6.4746000000e-01,4.9792763750e+00,-6.3765000000e-01,9.6628500000e-04
66,6.6000000000e-02,4.9776528200e+00,-6.5727000000e-01,4.9786338200e+00,-6.4746000000e-01,9.8100000000e-04
67,6.7000000000e-02,4.9769857400e+00,-6.6708000000e-01,4.9779814550e+00,-6.5727000000e-01,9.9571500000e-04
68,6.8000000000e-02,4.9763088500e+00,-6.7689000000e-01,4.9773192800e+00,-6.6708000000e-01,1.0104300000e-03
69,6.9000000000e-02,4.9756221500e+00,-6.8670000000e-01,4.9766472950e+00,-6.7689000000e-01,1.0251450000e-03
70,7.0000000000e-02,4.9749256400e+00,-6.9651000000e-01,4.9759655000e+00,-6.8670000000e-01,1.0398600000e-03
71,7.1000000000e-02,4.9742193200e+00,-7.0632000000e-01,4.9752738950e+00,-6.9651000000e-01,1.0545750000e-03
72,7.2000000000e-02,4.9735031900e+00,-7.1613000000e-01,4.9745724800e+00,-7.0632000000e-01,1.0692900000e-03
73,7.3000000000e-02,4.9727772500e+00,-7.2594000000e-01,4.9738612550e+00,-7.1613000000e-01,1.0840050000e-03
74,7.4000000000e-02,4.9720415000e+00,-7.3575000000e-01,4.9731402200e+00,-7.2594000000e-01,1.0987200000e-03
75,7.5000000000e-02,4.9712959400e+00,-7.4556000000e-01,4.9724093750e+00,-7.3575000000e-01,1.1134350000e-03
76,7.6000000000e-02,4.9705405700e+00,-7.5537000000e-01,4.9716687200e+00,-7.4556000000e-01,1.1281500000e-03
77,7.7000000000e-02,4.9697753900e+00,-7.6518000000e-01,4.9709182550e+00,-7.5537000000e-01,1.1428650000e-03
78,7.8000000000e-02,4.9690004000e+00,-7.7499000000e-01,4.9701579800e+00,-7.6518000000e-01,1.1575800000e-03
79,7.9000000000e-02,4.9682156000e+00,-7.8480000000e-01,4.9693878950e+00,-7.7499000000e-01,1.1722950000e-03
80,8.0000000000e-02,4.9674209900e+00,-7.9461000000e-01,4.9686080000e+00,-7.8480000000e-01,1.1870100000e-03
81,8.1000000000e-02,4.9666165700e+00,-8.0442000000e-01,4.9678182950e+00,-7.9461000000e-01,1.2017250000e-03
82,8.2000000000e-02,4.9658023400e+00,-8.1423000000e-01,4.9670187800e+00,-8.0442000000e-01,1.2164400000e-03
