threads,total_time_s,contact_time_s,speedup,efficiency
1,0.025789,0.024474,1.000000,1.000000
2,0.015332,0.013646,1.682046,0.841023
4,0.009716,0.007915,2.654389,0.663597
8,0.012279,0.008607,2.100287,0.262536
12,0.099483,0.051618,0.259235,0.021603
