step,time,z,vz,KE
81,8.10000000e-03,1.99966617e+00,-8.04420000e-02,3.23545768e-03
82,8.20000000e-03,1.99965802e+00,-8.14230000e-02,3.31485246e-03
83,8.30000000e-03,1.99964978e+00,-8.24040000e-02,3.39520961e-03
84,8.40000000e-03,1.99964144e+00,-8.33850000e-02,3.47652911e-03
85,8.50000000e-03,1.99963301e+00,-8.43660000e-02,3.55881098e-03
86,8.60000000e-03,1.99962447e+00,-8.53470000e-02,3.64205520e-03
87,8.70000000e-03,1.99961584e+00,-8.63280000e-02,3.72626179e-03
88,8.80000000e-03,1.99960711e+00,-8.73090000e-02,3.81143074e-03
89,8.90000000e-03,1.99959828e+00,-8.82900000e-02,3.89756205e-03
90,9.00000000e-03,1.99958935e+00,-8.92710000e-02,3.98465572e-03
91,9.10000000e-03,1.99958033e+00,-9.02520000e-02,4.07271175e-03
92,9.20000000e-03,1.99957120e+00,-9.12330000e-02,4.16173014e-03
93,9.30000000e-03,1.99956198e+00,-9.22140000e-02,4.25171090e-03
94,9.40000000e-03,1.99955266e+00,-9.31950000e-02,4.34265401e-03
95,9.50000000e-03,1.99954325e+00,-9.41760000e-02,4.43455949e-03
96,9.60000000e-03,1.99953373e+00,-9.51570000e-02,4.52742732e-03
97,9.70000000e-03,1.99952412e+00,-9.61380000e-02,4.62125752e-03
98,9.80000000e-03,1.99951441e+00,-9.71190000e-02,4.71605008e-03
99,9.90000000e-03,1.99950460e+00,-9.81000000e-02,4.81180500e-03
100,1.00000000e-02,1.99949469e+00,-9.90810000e-02,4.90852228e-03
101,1.01000000e-02,1.99948468e+00,-1.00062000e-01,5.00620192e-03
102,1.02000000e-02,1.99947458e+00,-1.01043000e-01,5.10484392e-03
103,1.03000000e-02,1.99946437e+00,-1.02024000e-01,5.20444829e-03
104,1.04000000e-02,1.99945407e+00,-1.03005000e-01,5.30501501e-03
105,1.05000000e-02,1.99944367e+00,-1.03986000e-01,5.40654410e-03
106,1.06000000e-02,1.99943318e+00,-1.04967000e-01,5.50903554e-03
107,1.07000000e-02,1.99942258e+00,-1.05948000e-01,5.61248935e-03
108,1.08000000e-02,1.99941189e+00,-1.06929000e-01,5.71690552e-03
109,1.09000000e-02,1.99940110e+00,-1.07910000e-01,5.82228405e-03
110,1.10000000e-02,1.99939021e+00,-1.08891000e-01,5.92862494e-03
111,1.11000000e-02,1.99937922e+00,-1.09872000e-01,6.03592819e-03
112,1.12000000e-02,1.99936814e+00,-1.10853000e-01,6.14419380e-03
113,1.13000000e-02,1.99935695e+00,-1.11834000e-01,6.25342178e-03
114,1.14000000e-02,1.99934567e+00,-1.12815000e-01,6.36361211e-03
115,1.15000000e-02,1.99933429e+00,-1.13796000e-01,6.47476481e-03
116,1.16000000e-02,1.99932282e+00,-1.14777000e-01,6.58687986e-03
117,1.17000000e-02,1.99931124e+00,-1.15758000e-01,6.69995728e-03
118,1.18000000e-02,1.99929957e+00,-1.16739000e-01,6.81399706e-03
