step,time,KE
0,0.00000000e+00,4.81180500e-02
10,1.00000000e-02,5.82228405e+00
20,2.00000000e-02,2.12200601e+01
30,3.00000000e-02,4.62414461e+01
40,4.00000000e-02,8.08063022e+01
50,5.00000000e-02,1.24906909e+02
60,6.00000000e-02,1.78694924e+02
70,7.00000000e-02,2.41900796e+02
80,8.00000000e-02,3.14758064e+02
90,9.00000000e-02,3.95807104e+02
100,1.00000000e-01,4.86749037e+02
110,1.10000000e-01,5.83474571e+02
120,1.20000000e-01,6.91274124e+02
130,1.30000000e-01,8.07526693e+02
140,1.40000000e-01,9.31277444e+02
150,1.50000000e-01,1.06049428e+03
160,1.60000000e-01,1.19964825e+03
170,1.70000000e-01,1.34290446e+03
180,1.80000000e-01,1.49756068e+03
190,1.90000000e-01,1.65658503e+03
200,2.00000000e-01,1.82592905e+03
210,2.10000000e-01,1.99961585e+03
220,2.20000000e-01,2.18235934e+03
230,2.30000000e-01,2.37148035e+03
240,2.40000000e-01,2.56502439e+03
250,2.50000000e-01,2.76057319e+03
260,2.60000000e-01,2.97792716e+03
270,2.70000000e-01,3.19175830e+03
280,2.80000000e-01,3.39048433e+03
290,2.90000000e-01,3.59709824e+03
300,3.00000000e-01,3.81242261e+03
310,3.10000000e-01,4.02807355e+03
320,3.20000000e-01,4.21886151e+03
330,3.30000000e-01,4.43983799e+03
340,3.40000000e-01,4.66982711e+03
350,3.50000000e-01,4.86913606e+03
360,3.60000000e-01,5.07374322e+03
370,3.70000000e-01,5.26863540e+03
380,3.80000000e-01,5.46388217e+03
390,3.90000000e-01,5.69925127e+03
400,4.00000000e-01,5.92487990e+03
410,4.10000000e-01,6.09312855e+03
420,4.20000000e-01,6.33836797e+03
430,4.30000000e-01,6.56798044e+03
440,4.40000000e-01,6.80098991e+03
450,4.50000000e-01,7.02660866e+03
460,4.60000000e-01,7.18637648e+03
470,4.70000000e-01,7.33672347e+03
480,4.80000000e-01,7.43239685e+03
490,4.90000000e-01,7.63391902e+03
500,5.00000000e-01,7.79591606e+03
510,5.10000000e-01,7.95046774e+03
520,5.20000000e-01,8.08745965e+03
530,5.30000000e-01,8.21501093e+03
540,5.40000000e-01,8.26387944e+03
550,5.50000000e-01,8.38274852e+03
560,5.60000000e-01,8.50983633e+03
