step,time,KE
570,5.70000000e-01,8.55407925e+03
580,5.80000000e-01,8.62061389e+03
590,5.90000000e-01,8.69671952e+03
600,6.00000000e-01,8.69424171e+03
610,6.10000000e-01,8.68349189e+03
620,6.20000000e-01,8.69833513e+03
630,6.30000000e-01,8.66361912e+03
640,6.40000000e-01,8.52496628e+03
650,6.50000000e-01,8.42650056e+03
660,6.60000000e-01,8.30384194e+03
670,6.70000000e-01,8.18325230e+03
680,6.80000000e-01,7.97050713e+03
690,6.90000000e-01,7.69848756e+03
700,7.00000000e-01,7.32468596e+03
710,7.10000000e-01,7.05844674e+03
720,7.20000000e-01,6.77328138e+03
730,7.30000000e-01,6.42704530e+03
740,7.40000000e-01,6.06600816e+03
750,7.50000000e-01,5.84123118e+03
760,7.60000000e-01,5.41872968e+03
770,7.70000000e-01,5.06841047e+03
780,7.80000000e-01,4.65137909e+03
790,7.90000000e-01,4.06572461e+03
800,8.00000000e-01,3.44075340e+03
810,8.10000000e-01,2.79694778e+03
820,8.20000000e-01,2.15932354e+03
830,8.30000000e-01,1.36244483e+03
840,8.40000000e-01,7.38356223e+02
850,8.50000000e-01,7.19254940e+02
860,8.60000000e-01,6.82338950e+02
870,8.70000000e-01,6.29448892e+02
880,8.80000000e-01,5.77736057e+02
890,8.90000000e-01,5.33645290e+02
900,9.00000000e-01,5.01677978e+02
910,9.10000000e-01,4.71917878e+02
920,9.20000000e-01,4.44082632e+02
930,9.30000000e-01,4.15706528e+02
940,9.40000000e-01,3.93421782e+02
950,9.50000000e-01,3.77932598e+02
960,9.60000000e-01,3.63789388e+02
970,9.70000000e-01,3.50970410e+02
980,9.80000000e-01,3.45762059e+02
990,9.90000000e-01,3.36691816e+02
1000,1.00000000e+00,3.30284546e+02
1010,1.01000000e+00,3.19905872e+02
1020,1.02000000e+00,3.17594050e+02
1030,1.03000000e+00,3.05575334e+02
1040,1.04000000e+00,3.00766569e+02
1050,1.05000000e+00,2.90608741e+02
1060,1.06000000e+00,2.89317986e+02
1070,1.07000000e+00,2.87632998e+02
1080,1.08000000e+00,2.76868831e+02
1090,1.09000000e+00,2.72411544e+02
1100,1.10000000e+00,2.71332577e+02
1110,1.11000000e+00,2.69647044e+02
1120,1.12000000e+00,2.71826830e+02
1130,1.13000000e+00,2.67538054e+02
1140,1.14000000e+00,2.64144917e+02
1150,1.15000000e+00,2.55763883e+02
1160,1.16000000e+00,2.46397221e+02
1170,1.17000000e+00,2.40245630e+02
1180,1.18000000e+00,2.32782758e+02
1190,1.19000000e+00,2.27032388e+02
1200,1.20000000e+00,2.20909576e+02
1210,1.21000000e+00,2.19196432e+02
1220,1.22000000e+00,2.14738322e+02
1230,1.23000000e+00,2.11384385e+02
1240,1.24000000e+00,2.07033657e+02
1250,1.25000000e+00,1.92515500e+02
1260,1.26000000e+00,1.83319752e+02
1270,1.27000000e+00,1.70135560e+02
1280,1.28000000e+00,1.57585816e+02
1290,1.29000000e+00,1.46891421e+02
1300,1.30000000e+00,1.34725307e+02
1310,1.31000000e+00,1.21412545e+02
1320,1.32000000e+00,1.12623322e+02
1330,1.33000000e+00,1.00310241e+02
1340,1.34000000e+00,9.55696589e+01
1350,1.35000000e+00,9.30117297e+01
1360,1.36000000e+00,8.57578039e+01
1370,1.37000000e+00,8.15383183e+01
1380,1.38000000e+00,7.93179999e+01
1390,1.39000000e+00,7.65875563e+01
1400,1.40000000e+00,7.42600937e+01
1410,1.41000000e+00,7.16266679e+01
1420,1.42000000e+00,6.95717675e+01
1430,1.43000000e+00,6.67015347e+01
1440,1.44000000e+00,6.51428301e+01
1450,1.45000000e+00,6.32939455e+01
1460,1.46000000e+00,6.13106868e+01
1470,1.47000000e+00,5.88729148e+01
1480,1.48000000e+00,5.75783164e+01
1490,1.49000000e+00,5.63997270e+01
1500,1.50000000e+00,5.54105530e+01
1510,1.51000000e+00,5.42083735e+01
1520,1.52000000e+00,5.28246356e+01
1530,1.53000000e+00,5.15486306e+01
1540,1.54000000e+00,5.04842791e+01
1550,1.55000000e+00,4.89565421e+01
1560,1.56000000e+00,4.78975810e+01
1570,1.57000000e+00,4.69966034e+01
1580,1.58000000e+00,4.61635509e+01
1590,1.59000000e+00,4.52815082e+01
1600,1.60000000e+00,4.42155874e+01
1610,1.61000000e+00,4.26512671e+01
1620,1.62000000e+00,4.15397520e+01
1630,1.63000000e+00,4.04515855e+01
1640,1.64000000e+00,3.99263522e+01
1650,1.65000000e+00,3.93023361e+01
1660,1.66000000e+00,3.88445386e+01
1670,1.67000000e+00,3.82950229e+01
1680,1.68000000e+00,3.69313965e+01
1690,1.69000000e+00,3.63602232e+01
1700,1.70000000e+00,3.58121511e+01
1710,1.71000000e+00,3.53603119e+01
1720,1.72000000e+00,3.50201664e+01
1730,1.73000000e+00,3.41442597e+01
1740,1.74000000e+00,3.35279411e+01
1750,1.75000000e+00,3.30256833e+01
1760,1.76000000e+00,3.22787765e+01
1770,1.77000000e+00,3.18759901e+01
1780,1.78000000e+00,3.14458061e+01
1790,1.79000000e+00,3.08693710e+01
1800,1.80000000e+00,3.04366598e+01
1810,1.81000000e+00,2.99530907e+01
1820,1.82000000e+00,2.96251408e+01
1830,1.83000000e+00,2.90500712e+01
1840,1.84000000e+00,2.86343655e+01
1850,1.85000000e+00,2.83868344e+01
1860,1.86000000e+00,2.78199945e+01
1870,1.87000000e+00,2.74414254e+01
1880,1.88000000e+00,2.70104209e+01
1890,1.89000000e+00,2.64089107e+01
1900,1.90000000e+00,2.61328428e+01
1910,1.91000000e+00,2.58208852e+01
1920,1.92000000e+00,2.54083872e+01
1930,1.93000000e+00,2.48811076e+01
1940,1.94000000e+00,2.46020678e+01
1950,1.95000000e+00,2.41613378e+01
1960,1.96000000e+00,2.37835832e+01
1970,1.97000000e+00,2.34603196e+01
1980,1.98000000e+00,2.31486860e+01
1990,1.99000000e+00,2.27869058e+01
2000,2.00000000e+00,2.24155660e+01
