step_idx,KE_serial,KE_parallel,abs_diff
0,9.6236100000e-03,9.6236100000e-03,0.0000000000e+00
1,1.1644568100e+00,1.1644568100e+00,0.0000000000e+00
2,4.2440120100e+00,4.2440120100e+00,0.0000000000e+00
3,9.2482892100e+00,9.2482892100e+00,0.0000000000e+00
4,1.6119657199e+01,1.6119657199e+01,0.0000000000e+00
5,2.4905854704e+01,2.4905854704e+01,0.0000000000e+00
6,3.5633263002e+01,3.5633263002e+01,0.0000000000e+00
7,4.8097677988e+01,4.8097677988e+01,0.0000000000e+00
8,6.2171519053e+01,6.2171519053e+01,0.0000000000e+00
9,7.8120881477e+01,7.8120881477e+01,0.0000000000e+00
10,9.5592168492e+01,9.5592168492e+01,0.0000000000e+00
11,1.1492183897e+02,1.1492183897e+02,0.0000000000e+00
12,1.3508573673e+02,1.3508573673e+02,0.0000000000e+00
13,1.5553583922e+02,1.5553583922e+02,0.0000000000e+00
14,1.7795336973e+02,1.7795336973e+02,0.0000000000e+00
15,2.0357237312e+02,2.0357237312e+02,0.0000000000e+00
16,2.2991583595e+02,2.2991583595e+02,0.0000000000e+00
17,2.5683505569e+02,2.5683505569e+02,0.0000000000e+00
18,2.8483004290e+02,2.8483004290e+02,0.0000000000e+00
19,3.1180458888e+02,3.1180458888e+02,0.0000000000e+00
20,3.4404993200e+02,3.4404993200e+02,0.0000000000e+00
21,3.7390331934e+02,3.7390331934e+02,0.0000000000e+00
22,4.0525915994e+02,4.0525915994e+02,0.0000000000e+00
23,4.3945996513e+02,4.3945996513e+02,0.0000000000e+00
24,4.6827821081e+02,4.6827821081e+02,0.0000000000e+00
25,5.0168469605e+02,5.0168469605e+02,0.0000000000e+00
26,5.2846579413e+02,5.2846579413e+02,0.0000000000e+00
27,5.6070901597e+02,5.6070901597e+02,0.0000000000e+00
28,5.9548141617e+02,5.9548141617e+02,0.0000000000e+00
29,6.3445249806e+02,6.3445249806e+02,0.0000000000e+00
30,6.5333685987e+02,6.5333685987e+02,0.0000000000e+00
31,6.7710838371e+02,6.7710838371e+02,0.0000000000e+00
32,7.0829989852e+02,7.0829989852e+02,0.0000000000e+00
33,7.5032349494e+02,7.5032349494e+02,0.0000000000e+00
34,7.7603076596e+02,7.7603076596e+02,0.0000000000e+00
35,7.9253436922e+02,7.9253436922e+02,0.0000000000e+00
36,8.1898709527e+02,8.1898709527e+02,0.0000000000e+00
37,8.5430078489e+02,8.5430078489e+02,0.0000000000e+00
38,8.7839537581e+02,8.7839537581e+02,0.0000000000e+00
39,8.9768231836e+02,8.9768231836e+02,0.0000000000e+00
40,8.9072208084e+02,8.9072208084e+02,0.0000000000e+00
41,8.8588139069e+02,8.8588139069e+02,0.0000000000e+00
42,9.0882417881e+02,9.0882417881e+02,0.0000000000e+00
43,9.2764816016e+02,9.2764816016e+02,0.0000000000e+00
44,9.4360452784e+02,9.4360452784e+02,0.0000000000e+00
45,9.5028582434e+02,9.5028582434e+02,0.0000000000e+00
46,9.3280148104e+02,9.3280148104e+02,0.0000000000e+00
47,9.2891998020e+02,9.2891998020e+02,0.0000000000e+00
48,9.1017425601e+02,9.1017425601e+02,0.0000000000e+00
49,9.1365175502e+02,9.1365175502e+02,0.0000000000e+00
50,8.5249439216e+02,8.5249439216e+02,0.0000000000e+00
