snap,time,x,y,z
0,0.000000e+00,1.182582e-01,6.786324e-01,1.360292e+00
0,0.000000e+00,8.534998e-01,4.448411e-01,5.277330e-01
0,0.000000e+00,1.258096e+00,1.687246e+00,6.251193e-01
0,0.000000e+00,1.021062e-01,7.448362e-01,1.501560e+00
0,0.000000e+00,6.557559e-01,3.115267e-01,2.567387e-01
0,0.000000e+00,1.492669e+00,2.093606e-01,1.096297e+00
0,0.000000e+00,1.122192e+00,1.459781e+00,1.910517e+00
0,0.000000e+00,4.686261e-01,9.138083e-01,1.035246e+00
0,0.000000e+00,1.139561e+00,1.104387e+00,1.431943e+00
0,0.000000e+00,1.243572e+00,1.559682e+00,1.158213e+00
0,0.000000e+00,5.743086e-01,1.622940e+00,1.781845e+00
0,0.000000e+00,1.879610e+00,5.314402e-01,2.816866e-01
0,0.000000e+00,4.623528e-01,1.734536e+00,1.913933e+00
0,0.000000e+00,1.032482e+00,1.781642e+00,7.137691e-01
0,0.000000e+00,5.890520e-01,4.923979e-01,9.702957e-01
0,0.000000e+00,7.908006e-01,1.930067e+00,1.124656e+00
0,0.000000e+00,1.832108e+00,1.107259e+00,6.394376e-01
0,0.000000e+00,1.797634e+00,1.520885e+00,1.498246e+00
0,0.000000e+00,8.878906e-01,7.154463e-01,6.576326e-01
0,0.000000e+00,3.748430e-01,1.904018e+00,2.723147e-01
0,0.000000e+00,1.478066e+00,5.333266e-01,1.840255e+00
0,0.000000e+00,1.314921e+00,4.679366e-01,4.266953e-01
0,0.000000e+00,1.541618e+00,8.752894e-01,2.162311e-01
0,0.000000e+00,1.510560e+00,1.852771e+00,1.942873e+00
0,0.000000e+00,2.793391e-01,4.968234e-01,4.902711e-01
0,0.000000e+00,1.194645e+00,1.232624e+00,4.753383e-01
0,0.000000e+00,3.743108e-01,1.119732e+00,1.527598e+00
0,0.000000e+00,9.587582e-01,9.723663e-01,1.103483e+00
0,0.000000e+00,5.120139e-01,1.805257e+00,1.763929e+00
0,0.000000e+00,1.114656e+00,2.350998e-01,1.722947e+00
0,0.000000e+00,1.331981e+00,1.658166e+00,3.112738e-01
0,0.000000e+00,1.227246e+00,1.028087e+00,7.242104e-01
0,0.000000e+00,1.598951e+00,6.247044e-01,1.544500e+00
0,0.000000e+00,1.760192e+00,1.902646e-01,1.452271e+00
0,0.000000e+00,1.758075e+00,4.146036e-01,1.894095e+00
0,0.000000e+00,3.033555e-01,1.554248e+00,1.181719e+00
0,0.000000e+00,7.237037e-01,1.873559e+00,3.564505e-01
0,0.000000e+00,3.063110e-01,8.873171e-01,1.273817e+00
0,0.000000e+00,1.354804e+00,1.344331e+00,1.134074e+00
0,0.000000e+00,1.173743e+00,5.139872e-01,1.314173e+00
0,0.000000e+00,9.516999e-01,1.790968e+00,1.027339e+00
0,0.000000e+00,1.207984e+00,1.073214e+00,1.104260e-01
0,0.000000e+00,1.877204e+00,7.271645e-01,6.801304e-01
0,0.000000e+00,1.476713e+00,5.423562e-01,8.153949e-01
0,0.000000e+00,9.839946e-01,3.554309e-01,1.174999e+00
0,0.000000e+00,9.330991e-01,6.037864e-01,7.842467e-01
0,0.000000e+00,1.698276e-01,1.272490e+00,7.128057e-01
0,0.000000e+00,4.712879e-01,1.523801e+00,1.545123e+00
0,0.000000e+00,1.690115e+00,9.336049e-01,9.444538e-01
0,0.000000e+00,8.791979e-01,1.623478e-01,1.403441e+00
0,0.000000e+00,2.483811e-01,1.059048e+00,1.249409e+00
0,0.000000e+00,1.220730e+00,3.220313e-01,3.776228e-01
0,0.000000e+00,1.276166e+00,2.542351e-01,1.049787e+00
0,0.000000e+00,1.901306e+00,1.675949e+00,1.537144e+00
0,0.000000e+00,7.717108e-01,7.149432e-01,1.837574e+00
0,0.000000e+00,1.891719e+00,1.593042e+00,4.963608e-01
0,0.000000e+00,7.309757e-01,1.707870e+00,1.713851e+00
0,0.000000e+00,1.388791e+00,2.341579e-01,1.292652e+00
0,0.000000e+00,9.889239e-01,1.869272e+00,2.812569e-01
0,0.000000e+00,1.878387e+00,8.034703e-01,3.886047e-01
0,0.000000e+00,1.336838e+00,9.968514e-01,1.392652e+00
0,0.000000e+00,6.412573e-01,2.725814e-01,1.659684e+00
0,0.000000e+00,9.638899e-01,1.493747e+00,1.858919e+00
0,0.000000e+00,6.868701e-02,1.450053e+00,1.589867e+00
0,0.000000e+00,1.550840e+00,2.767641e-01,3.598105e-01
0,0.000000e+00,1.443425e+00,2.234833e-01,1.897853e+00
0,0.000000e+00,1.884795e+00,8.994590e-01,1.660723e+00
0,0.000000e+00,1.653656e+00,3.432502e-01,1.839881e+00
0,0.000000e+00,1.001318e+00,1.277174e+00,1.764153e+00
0,0.000000e+00,1.227584e+00,1.210562e+00,6.226232e-01
0,0.000000e+00,7.235544e-01,2.075471e-01,1.330803e+00
0,0.000000e+00,6.374830e-01,2.212341e-01,8.358565e-01
0,0.000000e+00,2.823601e-01,1.717074e+00,1.057621e+00
0,0.000000e+00,5.871804e-01,1.215499e+00,1.226104e+00
0,0.000000e+00,5.400430e-01,1.155294e+00,1.805629e-01
0,0.000000e+00,2.557755e-01,8.639499e-01,4.688131e-01
0,0.000000e+00,1.506659e-01,1.810267e+00,1.690987e+00
0,0.000000e+00,1.859829e+00,1.092852e+00,9.565487e-01
0,0.000000e+00,5.374617e-01,7.090503e-01,1.503949e+00
0,0.000000e+00,1.569460e-01,1.662911e+00,7.476059e-01
0,0.000000e+00,1.884012e+00,4.414657e-01,9.001530e-01
0,0.000000e+00,1.269825e+00,1.023949e+00,1.066387e+00
0,0.000000e+00,1.606911e-01,1.251309e+00,8.384615e-01
0,0.000000e+00,1.163322e+00,1.783489e+00,1.089605e-01
0,0.000000e+00,4.444352e-01,3.785323e-01,1.209255e+00
0,0.000000e+00,5.700079e-01,5.793078e-01,1.282045e-01
0,0.000000e+00,9.838308e-01,6.749737e-01,1.883472e+00
0,0.000000e+00,7.298278e-01,5.898024e-01,1.031324e+00
0,0.000000e+00,1.631386e+00,1.072264e+00,1.685374e+00
0,0.000000e+00,1.882961e+00,1.113222e+00,1.789751e+00
0,0.000000e+00,8.381233e-01,4.380466e-01,8.686996e-01
0,0.000000e+00,1.849520e+00,5.437377e-01,1.750084e-01
0,0.000000e+00,7.429915e-01,1.652059e+00,1.903498e+00
0,0.000000e+00,7.969618e-01,1.514945e-01,3.370300e-01
0,0.000000e+00,6.122619e-02,6.665024e-01,8.613379e-01
0,0.000000e+00,1.344405e-01,1.595333e+00,1.481312e+00
0,0.000000e+00,7.292217e-02,3.801610e-01,1.261140e-01
0,0.000000e+00,1.049255e+00,6.654739e-02,1.143378e+00
0,0.000000e+00,7.896392e-01,1.201892e+00,3.725880e-01
0,0.000000e+00,2.479341e-01,1.139853e+00,1.430810e+00
0,0.000000e+00,9.269476e-02,1.922976e+00,1.813856e+00
0,0.000000e+00,9.064041e-01,1.827496e+00,4.125942e-01
0,0.000000e+00,1.026422e+00,6.254877e-01,1.196535e-01
0,0.000000e+00,9.849299e-01,1.367450e+00,2.161480e-01
0,0.000000e+00,1.266970e+00,1.373676e+00,8.276504e-01
0,0.000000e+00,1.833174e-01,1.453116e+00,4.779836e-01
