step,time,KE
0,0.00000000e+00,9.62361000e-03
10,1.00000000e-02,1.16445681e+00
20,2.00000000e-02,4.24401201e+00
30,3.00000000e-02,9.24828921e+00
40,4.00000000e-02,1.61196572e+01
50,5.00000000e-02,2.49058547e+01
60,6.00000000e-02,3.56332630e+01
70,7.00000000e-02,4.80976780e+01
80,8.00000000e-02,6.21715191e+01
90,9.00000000e-02,7.81208815e+01
100,1.00000000e-01,9.55921685e+01
110,1.10000000e-01,1.14921839e+02
120,1.20000000e-01,1.35085737e+02
130,1.30000000e-01,1.55535839e+02
140,1.40000000e-01,1.77953370e+02
150,1.50000000e-01,2.03572373e+02
160,1.60000000e-01,2.29915836e+02
170,1.70000000e-01,2.56835056e+02
180,1.80000000e-01,2.84830043e+02
190,1.90000000e-01,3.11804589e+02
200,2.00000000e-01,3.44049932e+02
210,2.10000000e-01,3.73903319e+02
220,2.20000000e-01,4.05259160e+02
230,2.30000000e-01,4.39459965e+02
240,2.40000000e-01,4.68278211e+02
250,2.50000000e-01,5.01684696e+02
260,2.60000000e-01,5.28465794e+02
270,2.70000000e-01,5.60709016e+02
280,2.80000000e-01,5.95481416e+02
290,2.90000000e-01,6.34452498e+02
300,3.00000000e-01,6.53336860e+02
310,3.10000000e-01,6.77108384e+02
320,3.20000000e-01,7.08299899e+02
330,3.30000000e-01,7.50323495e+02
340,3.40000000e-01,7.76030766e+02
350,3.50000000e-01,7.92534369e+02
360,3.60000000e-01,8.18987095e+02
370,3.70000000e-01,8.54300785e+02
380,3.80000000e-01,8.78395376e+02
390,3.90000000e-01,8.97682318e+02
400,4.00000000e-01,8.90722081e+02
410,4.10000000e-01,8.85881391e+02
420,4.20000000e-01,9.08824179e+02
430,4.30000000e-01,9.27648160e+02
440,4.40000000e-01,9.43604528e+02
450,4.50000000e-01,9.50285824e+02
460,4.60000000e-01,9.32801481e+02
470,4.70000000e-01,9.28919980e+02
480,4.80000000e-01,9.10174256e+02
490,4.90000000e-01,9.13651755e+02
500,5.00000000e-01,8.52494392e+02
510,5.10000000e-01,8.17253673e+02
520,5.20000000e-01,7.84929070e+02
530,5.30000000e-01,7.61860862e+02
540,5.40000000e-01,7.08854003e+02
550,5.50000000e-01,6.46239464e+02
560,5.60000000e-01,5.96531873e+02
570,5.70000000e-01,5.42948292e+02
580,5.80000000e-01,4.88445415e+02
590,5.90000000e-01,4.35993472e+02
600,6.00000000e-01,3.47952307e+02
610,6.10000000e-01,2.62834911e+02
620,6.20000000e-01,1.76848139e+02
630,6.30000000e-01,1.07036022e+02
640,6.40000000e-01,1.02872691e+02
650,6.50000000e-01,9.01348813e+01
660,6.60000000e-01,8.39942697e+01
670,6.70000000e-01,7.82211170e+01
680,6.80000000e-01,7.21445382e+01
690,6.90000000e-01,6.60971975e+01
700,7.00000000e-01,6.13201689e+01
710,7.10000000e-01,5.72792301e+01
720,7.20000000e-01,5.46327085e+01
730,7.30000000e-01,5.19245785e+01
740,7.40000000e-01,4.85076194e+01
750,7.50000000e-01,4.70447231e+01
760,7.60000000e-01,4.56382560e+01
770,7.70000000e-01,4.47225993e+01
780,7.80000000e-01,4.47295186e+01
790,7.90000000e-01,4.41917821e+01
800,8.00000000e-01,4.38724715e+01
810,8.10000000e-01,4.07775930e+01
820,8.20000000e-01,4.05322401e+01
830,8.30000000e-01,3.98325965e+01
840,8.40000000e-01,3.62851061e+01
850,8.50000000e-01,3.35210047e+01
860,8.60000000e-01,3.38371630e+01
870,8.70000000e-01,3.10742802e+01
880,8.80000000e-01,3.06911036e+01
890,8.90000000e-01,3.12289399e+01
900,9.00000000e-01,2.96326968e+01
910,9.10000000e-01,2.94643618e+01
920,9.20000000e-01,2.83067073e+01
930,9.30000000e-01,2.77257470e+01
940,9.40000000e-01,2.61082847e+01
950,9.50000000e-01,2.46315416e+01
960,9.60000000e-01,2.24650574e+01
970,9.70000000e-01,2.18343091e+01
980,9.80000000e-01,2.15095222e+01
990,9.90000000e-01,2.08446086e+01
1000,1.00000000e+00,2.01903207e+01
1010,1.01000000e+00,1.98963785e+01
1020,1.02000000e+00,1.91036209e+01
1030,1.03000000e+00,1.86000714e+01
1040,1.04000000e+00,1.66284783e+01
1050,1.05000000e+00,1.60598000e+01
1060,1.06000000e+00,1.59625148e+01
1070,1.07000000e+00,1.53682894e+01
1080,1.08000000e+00,1.48686152e+01
1090,1.09000000e+00,1.43462517e+01
1100,1.10000000e+00,1.41766702e+01
1110,1.11000000e+00,1.40677739e+01
1120,1.12000000e+00,1.41045379e+01
1130,1.13000000e+00,1.33037114e+01
1140,1.14000000e+00,1.31457837e+01
1150,1.15000000e+00,1.28565041e+01
1160,1.16000000e+00,1.28996485e+01
1170,1.17000000e+00,1.28177842e+01
1180,1.18000000e+00,1.17442608e+01
1190,1.19000000e+00,1.14537321e+01
1200,1.20000000e+00,1.13522799e+01
1210,1.21000000e+00,1.13294154e+01
1220,1.22000000e+00,1.10746022e+01
1230,1.23000000e+00,1.05449910e+01
1240,1.24000000e+00,1.03770799e+01
1250,1.25000000e+00,1.02310205e+01
1260,1.26000000e+00,1.00629446e+01
1270,1.27000000e+00,9.42326563e+00
1280,1.28000000e+00,9.23557290e+00
1290,1.29000000e+00,9.05100267e+00
1300,1.30000000e+00,8.97740716e+00
1310,1.31000000e+00,8.74636234e+00
1320,1.32000000e+00,8.56139557e+00
1330,1.33000000e+00,8.49603685e+00
1340,1.34000000e+00,8.48770128e+00
1350,1.35000000e+00,8.45639696e+00
1360,1.36000000e+00,8.40816470e+00
1370,1.37000000e+00,8.33600329e+00
