step_idx,KE_serial,KE_parallel,abs_diff
0,4.8118050000e-02,4.8118050000e-02,0.0000000000e+00
1,5.8222840500e+00,5.8222840500e+00,0.0000000000e+00
2,2.1220060050e+01,2.1220060050e+01,0.0000000000e+00
3,4.6241446050e+01,4.6241446050e+01,0.0000000000e+00
4,8.0806302203e+01,8.0806302203e+01,0.0000000000e+00
5,1.2490690879e+02,1.2490690879e+02,0.0000000000e+00
6,1.7869492359e+02,1.7869492359e+02,0.0000000000e+00
7,2.4190079566e+02,2.4190079566e+02,0.0000000000e+00
8,3.1475806366e+02,3.1475806366e+02,0.0000000000e+00
9,3.9580710352e+02,3.9580710352e+02,0.0000000000e+00
10,4.8674903734e+02,4.8674903734e+02,0.0000000000e+00
11,5.8347457094e+02,5.8347457094e+02,0.0000000000e+00
12,6.9127412354e+02,6.9127412354e+02,0.0000000000e+00
13,8.0752669346e+02,8.0752669346e+02,0.0000000000e+00
14,9.3127744352e+02,9.3127744352e+02,0.0000000000e+00
15,1.0604942823e+03,1.0604942823e+03,0.0000000000e+00
16,1.1996482454e+03,1.1996482454e+03,0.0000000000e+00
17,1.3429044587e+03,1.3429044587e+03,0.0000000000e+00
18,1.4975606797e+03,1.4975606797e+03,0.0000000000e+00
19,1.6565850297e+03,1.6565850297e+03,0.0000000000e+00
20,1.8259290507e+03,1.8259290507e+03,0.0000000000e+00
21,1.9996158466e+03,1.9996158466e+03,0.0000000000e+00
22,2.1823593387e+03,2.1823593387e+03,0.0000000000e+00
23,2.3714803502e+03,2.3714803502e+03,0.0000000000e+00
24,2.5650243865e+03,2.5650243865e+03,0.0000000000e+00
25,2.7605731868e+03,2.7605731868e+03,0.0000000000e+00
26,2.9779271642e+03,2.9779271642e+03,0.0000000000e+00
27,3.1917583015e+03,3.1917583015e+03,0.0000000000e+00
28,3.3904843289e+03,3.3904843289e+03,0.0000000000e+00
29,3.5970982369e+03,3.5970982369e+03,0.0000000000e+00
30,3.8124226145e+03,3.8124226145e+03,0.0000000000e+00
31,4.0280735527e+03,4.0280735527e+03,0.0000000000e+00
32,4.2188615078e+03,4.2188615078e+03,0.0000000000e+00
33,4.4398379933e+03,4.4398379933e+03,0.0000000000e+00
34,4.6698271065e+03,4.6698271065e+03,0.0000000000e+00
35,4.8691360601e+03,4.8691360601e+03,0.0000000000e+00
36,5.0737432212e+03,5.0737432212e+03,0.0000000000e+00
37,5.2686354043e+03,5.2686354043e+03,0.0000000000e+00
38,5.4638821657e+03,5.4638821657e+03,0.0000000000e+00
39,5.6992512685e+03,5.6992512685e+03,0.0000000000e+00
40,5.9248798957e+03,5.9248798957e+03,0.0000000000e+00
41,6.0931285527e+03,6.0931285527e+03,0.0000000000e+00
42,6.3383679700e+03,6.3383679700e+03,0.0000000000e+00
43,6.5679804392e+03,6.5679804392e+03,0.0000000000e+00
44,6.8009899140e+03,6.8009899140e+03,0.0000000000e+00
45,7.0266086598e+03,7.0266086598e+03,0.0000000000e+00
46,7.1863764839e+03,7.1863764839e+03,0.0000000000e+00
47,7.3367234685e+03,7.3367234685e+03,0.0000000000e+00
48,7.4323968459e+03,7.4323968459e+03,0.0000000000e+00
49,7.6339190163e+03,7.6339190163e+03,0.0000000000e+00
50,7.7959160637e+03,7.7959160637e+03,0.0000000000e+00
