snap,time,x,y,z
0,0.000000e+00,5.678135e-02,8.028594e-02,1.905173e+00
0,0.000000e+00,3.178296e+00,1.718608e+00,1.383893e+00
0,0.000000e+00,8.758903e-01,8.370294e-01,1.689975e+00
0,0.000000e+00,2.232983e-01,3.424102e+00,3.167213e+00
0,0.000000e+00,1.445746e+00,7.800960e-01,2.825201e-01
0,0.000000e+00,2.464696e+00,2.251901e+00,1.470912e+00
0,0.000000e+00,1.537675e+00,2.093951e+00,9.689587e-01
0,0.000000e+00,2.830846e+00,3.139644e+00,2.713522e+00
0,0.000000e+00,9.985320e-01,7.739326e-01,7.003795e-01
0,0.000000e+00,6.747954e-01,3.983814e-01,4.265771e-01
0,0.000000e+00,3.191458e+00,4.142601e-01,3.056271e+00
0,0.000000e+00,1.860889e+00,8.643992e-01,3.292257e+00
0,0.000000e+00,1.255411e+00,3.190414e+00,8.916547e-01
0,0.000000e+00,2.081310e+00,2.908045e+00,3.164392e+00
0,0.000000e+00,2.894883e+00,1.748381e+00,4.417245e-01
0,0.000000e+00,8.009890e-01,4.752676e-01,3.313359e+00
0,0.000000e+00,2.538866e+00,1.577894e+00,7.208546e-01
0,0.000000e+00,2.234665e+00,1.752664e+00,3.383043e-01
0,0.000000e+00,6.116987e-01,3.141315e+00,2.623473e+00
0,0.000000e+00,1.775751e+00,1.299077e+00,3.096072e+00
0,0.000000e+00,4.329593e-01,7.316243e-01,2.601849e+00
0,0.000000e+00,3.399239e+00,9.893391e-01,2.877433e-01
0,0.000000e+00,5.049356e-01,2.117873e+00,2.391143e+00
0,0.000000e+00,1.530979e-01,1.886692e+00,3.389305e+00
0,0.000000e+00,1.775228e+00,2.521316e+00,5.291616e-01
0,0.000000e+00,2.529465e+00,2.765973e+00,2.129145e+00
0,0.000000e+00,5.234259e-01,1.094316e-01,1.057440e+00
0,0.000000e+00,8.452821e-01,3.166899e-01,6.092862e-01
0,0.000000e+00,2.573026e+00,3.251630e+00,2.973013e+00
0,0.000000e+00,8.888439e-01,2.883799e-01,2.737131e+00
0,0.000000e+00,1.268773e-01,2.813818e+00,1.818780e+00
0,0.000000e+00,1.447408e-01,2.047046e+00,5.100446e-01
0,0.000000e+00,3.046357e+00,2.876392e+00,3.097430e+00
0,0.000000e+00,5.449456e-01,3.311593e+00,1.993863e+00
0,0.000000e+00,2.936042e+00,1.546241e+00,1.946018e+00
0,0.000000e+00,1.878335e+00,1.219674e-01,1.827555e+00
0,0.000000e+00,3.207859e+00,7.138653e-01,3.165855e+00
0,0.000000e+00,2.608022e+00,2.056438e-01,3.205238e+00
0,0.000000e+00,3.077174e+00,8.697169e-02,2.524858e+00
0,0.000000e+00,1.449507e+00,3.663107e-01,2.422065e+00
0,0.000000e+00,2.835860e+00,1.947386e+00,3.171600e+00
0,0.000000e+00,3.258629e+00,1.966294e+00,4.452763e-01
0,0.000000e+00,4.681640e-01,2.625259e+00,1.409278e+00
0,0.000000e+00,3.129093e+00,1.605995e+00,3.421585e+00
0,0.000000e+00,5.978048e-01,2.709875e+00,2.365654e+00
0,0.000000e+00,2.429492e+00,3.359115e-01,1.075826e+00
0,0.000000e+00,3.007809e+00,3.340634e+00,1.798305e+00
0,0.000000e+00,7.413396e-01,1.230121e-01,2.272367e+00
0,0.000000e+00,2.487888e+00,1.999410e+00,2.447763e+00
0,0.000000e+00,6.481569e-01,2.521734e+00,3.316493e+00
0,0.000000e+00,2.724187e+00,2.760959e+00,2.100104e+00
0,0.000000e+00,7.980640e-01,2.686361e-01,1.549679e+00
